sku,title,shopify,amazon,etsy,google,notes
294_META_BLAC_,Metal Wall Shelf Perforated Folded,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
254_META_BLAC_,Metal Wall Shelves (White/Black),active,B0D73SPNKP,,yes,etsy: no connector
355_MONI_WALN_,Monitor Stand with Storage Compartments,active,B08ZVJ9S7N,,yes,"amazon match likely, verify; etsy: no connector"
297_KIDS__,Montessori Toy Rings,draft,,,no,draft; etsy: no connector
,"Motorcycle Helmet Hooks, Wood Hook",active,,,yes,no sku in shopify; NO AMAZON LISTING FOUND; etsy: no connector
40_CUP _VARN_,Mug holder stand,active,B08ZVJ9S7N,,yes,etsy: no connector
003_MULTI_SET_,Multifunctional Play equipment SET (Mini SET),active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
,Multifunctional Play equipment SET (Swing House),draft,,,no,draft; no sku in shopify; etsy: no connector
,Multifunctional Playhouse SET (Juice shop),draft,,,no,draft; no sku in shopify; etsy: no connector
,Multifunctional Playhouse SET (Ship),draft,,,no,draft; no sku in shopify; etsy: no connector
,Multifunctional SET  (Triangle with slide) in white color,draft,,,no,draft; no sku in shopify; etsy: no connector
,Multifunctional SET (Triangle),draft,,,no,draft; no sku in shopify; etsy: no connector
,Multifunctional SET (Triangle+slide),draft,,,no,draft; no sku in shopify; etsy: no connector
003_MULTI_YELL_SET_,Multifunctional triangle for Kids (Yellow),draft,,,no,draft; etsy: no connector
22_NIGH_DARK_,Nightstand bedside table,active,B0DVLWS93B,,yes,etsy: no connector
246_DESK_1_,Office table organizer,active,,,yes,NO AMAZON LISTING FOUND; etsy: no connector
81_PAPE_BLAC_,Paper towel holder of marble,active,B07T2D1T65,,yes,etsy: no connector
337_PICT_WALN_,Picture Ledge Shelf,active,B0F38RL23K,,yes,etsy: no connector
,Plant Stand BOX CAVALLO,active,B0FDGB5894,,yes,"no sku in shopify; amazon match likely, verify; etsy: no connector"
,Plant Stand CAVALLO,active,B0FDGB5894,,yes,no sku in shopify; etsy: no connector
350_PLAN_WALN_,Plant Stand Nordic Blocks,active,B0FDGB5894,,yes,"amazon match likely, verify; etsy: no connector"
122_BALA_PRINT_,Printed wooden balance beams,draft,,,no,draft; etsy: no connector
287_TOWE_WALN_,Rolled Towel Holder Bridge,active,B0D87QFC2N,,yes,etsy: no connector
